,id,network,station,channel,component,response,unit,latitude,longitude
0,CI.DAW..HN,CI,DAW,HN,"E,N,Z","213512.00,213897.00,214625.00",m/s**2,36.271,-117.592
1,CI.MPM..HN,CI,MPM,HN,"E,N,Z","213911.00,214219.00,213911.00",m/s**2,36.058,-117.489
2,CI.WRV2..HN,CI,WRV2,HN,"E,N,Z","213883.00,235224.00,235139.00",m/s**2,36.008,-117.89
3,PB.B916..EH,PB,B916,EH,"1,2,Z","781398000.00,781398000.00,781398000.00",m/s,36.193,-117.668
4,CI.WMF..HN,CI,WMF,HN,"E,N,Z","214087.00,214087.00,214087.00",m/s**2,36.118,-117.855
5,CI.WBM..HN,CI,WBM,HN,"E,N,Z","213550.00,214064.00,213550.00",m/s**2,35.608,-117.89
6,CI.LRL..HH,CI,LRL,HH,"E,N,Z","628306000.00,629984000.00,627467000.00",m/s,35.48,-117.682
7,CI.SLA..HN,CI,SLA,HN,"E,N,Z","214253.00,213671.00,213979.00",m/s**2,35.891,-117.283
8,CI.MPM..HH,CI,MPM,HH,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,36.058,-117.489
9,CI.WNM..EH,CI,WNM,EH,Z,69306200.00,m/s,35.842,-117.906
10,CI.SRT..HN,CI,SRT,HN,"E,N,Z","214301.00,213873.00,214087.00",m/s**2,35.692,-117.751
11,CI.WRV2..EH,CI,WRV2,EH,Z,71427500.00,m/s,36.008,-117.89
12,CI.JRC2..HH,CI,JRC2,HH,"E,N,Z","784866000.00,784866000.00,790478000.00",m/s,35.982,-117.809
13,CI.SRT..HH,CI,SRT,HH,"E,N,Z","629865000.00,629865000.00,629865000.00",m/s,35.692,-117.751
14,CI.WVP2..HN,CI,WVP2,HN,"E,N,Z","213764.00,213550.00,213721.00",m/s**2,35.949,-117.818
15,CI.WVP2..EH,CI,WVP2,EH,Z,68041300.00,m/s,35.949,-117.818
16,CI.CCC..HH,CI,CCC,HH,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,35.525,-117.365
17,CI.WCS2..HH,CI,WCS2,HH,"E,N,Z","626910000.00,626910000.00,626838000.00",m/s,36.025,-117.765
18,PB.B917..EH,PB,B917,EH,"1,2,Z","781398000.00,781398000.00,781398000.00",m/s,35.405,-117.259
19,CI.WRC2..HH,CI,WRC2,HH,"E,N,Z","629145000.00,629145000.00,629145000.00",m/s,35.948,-117.65
20,CI.WNM..HN,CI,WNM,HN,"E,N,Z","214054.00,213926.00,214054.00",m/s**2,35.842,-117.906
21,CI.CCC..HN,CI,CCC,HN,"E,N,Z","213979.00,214322.00,213808.00",m/s**2,35.525,-117.365
22,CI.LRL..HN,CI,LRL,HN,"E,N,Z","213757.00,213671.00,213201.00",m/s**2,35.48,-117.682
23,CI.WMF..HH,CI,WMF,HH,"E,N,Z","626506000.00,628185000.00,626506000.00",m/s,36.118,-117.855
24,CI.CLC..HH,CI,CLC,HH,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,35.816,-117.598
25,CI.CLC..HN,CI,CLC,HN,"E,N,Z","213945.00,213808.00,213740.00",m/s**2,35.816,-117.598
26,CI.WBM..HH,CI,WBM,HH,"E,N,Z","314573000.00,314573000.00,314573000.00",m/s,35.608,-117.89
27,CI.TOW2..HH,CI,TOW2,HH,"E,N,Z","626911000.00,626911000.00,626839000.00",m/s,35.809,-117.765
28,CI.WRC2..HN,CI,WRC2,HN,"E,N,Z","214227.00,213970.00,214056.00",m/s**2,35.948,-117.65
29,CI.SLA..HH,CI,SLA,HH,"E,N,Z","622338000.00,618992000.00,616482000.00",m/s,35.891,-117.283
30,CI.TOW2..HN,CI,TOW2,HN,"E,N,Z","213800.00,214142.00,214356.00",m/s**2,35.809,-117.765
31,PB.B921..EH,PB,B921,EH,"1,2,Z","781398000.00,781398000.00,781398000.00",m/s,35.587,-117.462
32,PB.B918..EH,PB,B918,EH,"1,2,Z","781398000.00,781398000.00,781398000.00",m/s,35.936,-117.602
33,CI.DAW..HH,CI,DAW,HH,"E,N,Z","314768000.00,314768000.00,314768000.00",m/s,36.271,-117.592
34,CI.WCS2..HN,CI,WCS2,HN,"E,N,Z","213757.00,213329.00,213415.00",m/s**2,36.025,-117.765
35,CI.JRC2..HN,CI,JRC2,HN,"E,N,Z","213808.00,213945.00,214185.00",m/s**2,35.982,-117.809
